YEAR,MONTH,Carrier,ORIGIN,DEST,carrierTotalFlights,route_total_flights,n_carriers,HHI,carrierHubShare,carrierRouteShare,depDelay_rate,arrDelay_rate,cancel_rate,sd_dep_time,peak_dep_Count,peak_dep_share,YEAR_MONTH_id,route_id,carrier_route_id
2025,4,DL,ATL,PVD,88,88,1,1,0.6668401874023946,1,0.2159090909090909,0.25,0.01136363636363636,496.22261131332505,57,0.6551724137931034,2025_4,ATL_PVD,DL_ATL_PVD
2022,1,DL_CODESHARE,MSP,RHI,62,62,1,1,0.3833145434047351,1,0.25806451612903225,0.2903225806451613,0.03225806451612903,521.9451696964841,32,0.5333333333333333,2022_1,MSP_RHI,DL_CODESHARE_MSP_RHI
2020,4,DL_CODESHARE,SLC,EKO,30,30,1,1,0.3473926380368098,1,0.03333333333333333,0.03333333333333333,0.06666666666666667,7.285104757156986,28,1,2020_4,SLC_EKO,DL_CODESHARE_SLC_EKO
2021,3,AA,MIA,CLT,239,239,1,1,0.448005698005698,1,0.1213389121338912,0.100418410041841,0,513.4937022505492,151,0.6317991631799164,2021_3,MIA_CLT,AA_MIA_CLT
2023,9,WN,TUL,MDW,52,52,1,1,0.29456869009584663,1,0.19230769230769232,0.17307692307692307,0,507.9802652162488,31,0.5961538461538461,2023_9,TUL_MDW,WN_TUL_MDW
2021,4,DL,DCA,SLC,30,30,1,1,0.07757740728138823,1,0.03333333333333333,0.03333333333333333,0,84.55783574694244,29,0.9666666666666668,2021_4,DCA_SLC,DL_DCA_SLC
2023,9,UA_CODESHARE,DEN,SLC,122,635,5,0.24191208382416762,0.18986254295532645,0.1921259842519685,0.2213114754098361,0.22950819672131148,0,222.9209713103256,73,0.5983606557377049,2023_9,DEN_SLC,UA_CODESHARE_DEN_SLC
2025,12,WN,DCA,ATL,91,544,3,0.42526086721453277,0.1183533447684391,0.16727941176470587,0.21978021978021975,0.24175824175824176,0,372.697441179548,63,0.6923076923076923,2025_12,DCA_ATL,WN_DCA_ATL
2024,3,WN,ATL,IND,82,281,2,0.5866820329023189,0.11208922245993055,0.2918149466192171,0.14634146341463414,0.17073170731707318,0,508.9643150987727,59,0.7195121951219512,2024_3,ATL_IND,WN_ATL_IND
2024,3,AA,DCA,PWM,23,111,2,0.6714552390228066,0.20494815056748591,0.2072072072072072,0.34782608695652173,0.30434782608695654,0,98.8534068579876,22,0.9565217391304348,2024_3,DCA_PWM,AA_DCA_PWM
2020,7,UA_CODESHARE,OKC,IAH,88,88,1,1,0.1536624203821656,1,0.04545454545454545,0.07954545454545454,0,412.0741491074045,88,1,2020_7,OKC_IAH,UA_CODESHARE_OKC_IAH
2025,6,UA_CODESHARE,EWR,TVC,32,32,1,1,0.20798771121351767,1,0.1875,0.1875,0,222.03006734776173,32,1,2025_6,EWR_TVC,UA_CODESHARE_EWR_TVC
2020,1,UA_CODESHARE,SFO,SBP,122,122,1,1,0.2253097471889995,1,0.2213114754098361,0.19672131147540983,0.00819672131147541,490.7226643770729,88,0.7272727272727273,2020_1,SFO_SBP,UA_CODESHARE_SFO_SBP
2022,9,AA,CLT,PWM,63,63,1,1,0.5015232511352532,1,0.1111111111111111,0.14285714285714285,0,181.51114836011217,63,1,2022_9,CLT_PWM,AA_CLT_PWM
2024,8,WN,TPA,MDW,101,124,2,0.6978407908428721,0.296340223652999,0.8145161290322581,0.24752475247524752,0.22772277227722773,0.0198019801980198,516.2039672124009,70,0.7070707070707071,2024_8,TPA_MDW,WN_TPA_MDW
2023,2,AA,BOS,ORD,134,477,6,0.20924365685253307,0.11083123425692697,0.2809224318658281,0.1865671641791045,0.29850746268656714,0.01492537313432835,440.7945297188085,77,0.5833333333333334,2023_2,BOS_ORD,AA_BOS_ORD
2023,9,UA,DEN,TPA,90,218,3,0.39146536486827715,0.3234536082474227,0.4128440366972478,0.14444444444444443,0.12222222222222222,0,362.24182833744294,88,0.9777777777777776,2023_9,DEN_TPA,UA_DEN_TPA
2023,9,UA,DSM,DEN,92,214,4,0.3519084636212769,0.16025137470542028,0.4299065420560747,0.11956521739130437,0.18478260869565216,0,500.3381436617308,58,0.6304347826086957,2023_9,DSM_DEN,UA_DSM_DEN
2021,2,F9,MKE,RSW,17,72,3,0.4077932098765432,0.05320813771517996,0.2361111111111111,0.0588235294117647,0.1176470588235294,0,161.177674158237,16,0.9411764705882352,2021_2,MKE_RSW,F9_MKE_RSW
2024,7,DL_CODESHARE,FAR,MSP,83,145,2,0.510487514863258,0.13539967373572595,0.5724137931034483,0.30120481927710846,0.3614457831325301,0,286.2410554341299,82,0.9879518072289156,2024_7,FAR_MSP,DL_CODESHARE_FAR_MSP
2021,11,WN,BNA,PHL,56,203,4,0.30898590113810087,0.47263397947548463,0.27586206896551724,0.30357142857142855,0.23214285714285715,0,452.1954869761069,35,0.625,2021_11,BNA_PHL,WN_BNA_PHL
2020,3,DL,DTW,JAX,60,82,2,0.6073765615704939,0.35233644859813085,0.7317073170731707,0.06666666666666667,0.06666666666666667,0.21666666666666667,596.2812269161404,24,0.5106382978723404,2020_3,DTW_JAX,DL_DTW_JAX
2021,4,AS,GEG,SAN,30,30,1,1,0.14026845637583893,1,0.03333333333333333,0.03333333333333333,0,19.84480012381135,30,1,2021_4,GEG_SAN,AS_GEG_SAN
2025,10,DL,ROC,ATL,88,88,1,1,0.06330935251798561,1,0.1590909090909091,0.10227272727272728,0,509.4846966168163,56,0.6363636363636364,2025_10,ROC_ATL,DL_ROC_ATL
2024,2,G4,FNT,PIE,23,23,1,1,0.548,1,0.30434782608695654,0.21739130434782608,0,362.61921577899585,23,1,2024_2,FNT_PIE,G4_FNT_PIE
2025,12,AS,LAX,EUG,31,49,3,0.5210329029571013,0.04201528923132486,0.6326530612244898,0.03225806451612903,0,0,20.510841612569532,0,0,2025_12,LAX_EUG,AS_LAX_EUG
2024,4,AS,SEA,KOA,77,107,2,0.5964713075377762,0.4247805814591333,0.719626168224299,0.2727272727272727,0.2597402597402597,0.01298701298701298,359.80649181415043,75,0.974025974025974,2024_4,SEA_KOA,AS_SEA_KOA
2025,11,WN,AUS,SAN,124,199,3,0.48263932728971487,0.42293762575452715,0.6231155778894473,0.3709677419354839,0.2903225806451613,0.01612903225806451,538.9414577346917,75,0.6147540983606558,2025_11,AUS_SAN,WN_AUS_SAN
2020,2,DL_CODESHARE,DTW,OMA,72,72,1,1,0.4231417624521073,1,0.16666666666666666,0.19444444444444445,0,508.15047045730273,43,0.5972222222222222,2020_2,DTW_OMA,DL_CODESHARE_DTW_OMA
2020,5,AS,SEA,ABQ,30,30,1,1,0.2673985857834016,1,0.03333333333333333,0.03333333333333333,0,67.0388890397071,30,1,2020_5,SEA_ABQ,AS_SEA_ABQ
2025,7,NK,SAT,LAX,33,186,4,0.27442478899294714,0.04357066950053135,0.1774193548387097,0.06060606060606061,0,0,356.86631696171355,25,0.7575757575757576,2025_7,SAT_LAX,NK_SAT_LAX
2023,3,AA_CODESHARE,DFW,GJT,93,93,1,1,0.30124807659428965,1,0.07526881720430108,0.16129032258064516,0.02150537634408602,534.7941527694425,62,0.6813186813186813,2023_3,DFW_GJT,AA_CODESHARE_DFW_GJT
2020,2,AA_CODESHARE,CHS,PHL,98,98,1,1,0.27510683760683763,1,0.11224489795918367,0.14285714285714285,0.02040816326530612,471.9766701787096,74,0.7708333333333334,2020_2,CHS_PHL,AA_CODESHARE_CHS_PHL
2025,1,AS_CODESHARE,SAN,JAC,20,20,1,1,0.14072262972018473,1,0.15,0.15,0,30.200862657599004,20,1,2025_1,SAN_JAC,AS_CODESHARE_SAN_JAC
2025,4,AA,DFW,MDT,30,30,1,1,0.5259783157812925,1,0.4666666666666667,0.4666666666666667,0.03333333333333333,87.51189926127346,2,0.06896551724137931,2025_4,DFW_MDT,AA_DFW_MDT
2020,11,AS,PHX,PDX,59,160,3,0.340859375,0.02642998027613412,0.36875,0.03389830508474576,0.11864406779661016,0,376.21970976748895,59,1,2020_11,PHX_PDX,AS_PHX_PDX
2020,3,AA_CODESHARE,DFW,GPT,84,84,1,1,0.3920289010604824,1,0.04761904761904761,0.05952380952380952,0.17857142857142858,472.1258312267069,40,0.5797101449275363,2020_3,DFW_GPT,AA_CODESHARE_DFW_GPT
2020,5,WN,TPA,CVG,1,5,2,0.68,0.5798368298368298,0.2,0,0,1,NA,0,NA,2020_5,TPA_CVG,WN_TPA_CVG
2024,1,AS_CODESHARE,SEA,GEG,130,505,4,0.3084285854328007,0.15547945205479452,0.25742574257425743,0.16153846153846155,0.14615384615384616,0.00769230769230769,498.27874342891727,97,0.751937984496124,2024_1,SEA_GEG,AS_CODESHARE_SEA_GEG
2025,7,WN,BNA,PIT,88,97,2,0.8316505473482837,0.5205185790118416,0.9072164948453608,0.3636363636363637,0.3409090909090909,0,481.5782585647499,56,0.6363636363636364,2025_7,BNA_PIT,WN_BNA_PIT
2024,3,G4,MDT,SFB,24,24,1,1,0.09660574412532635,1,0.4583333333333333,0.375,0,589.6269208551298,13,0.5416666666666666,2024_3,MDT_SFB,G4_MDT_SFB
2020,12,B6,EWR,CHS,10,58,3,0.444114149821641,0.11682484900776532,0.1724137931034483,0.4,0.4,0.1,81.5,9,1,2020_12,EWR_CHS,B6_EWR_CHS
2021,3,UA_CODESHARE,ORD,IAD,29,114,2,0.6206525084641429,0.3578651685393258,0.2543859649122807,0.06896551724137931,0.06896551724137931,0.03448275862068965,151.5831097234753,28,1,2021_3,ORD_IAD,UA_CODESHARE_ORD_IAD
2022,8,NK,PHL,DFW,31,267,3,0.6903028517723633,0.06062965847146513,0.11610486891385768,0.03225806451612903,0.0967741935483871,0,42.97974016343199,31,1,2022_8,PHL_DFW,NK_PHL_DFW
2024,8,UA_CODESHARE,SFO,SEA,2,630,6,0.3270496346686823,0.12775947281713343,0.00317460317460317,0,0,0,9.192388155425116,2,1,2024_8,SFO_SEA,UA_CODESHARE_SFO_SEA
2021,11,AA_CODESHARE,ORD,COU,57,114,2,0.5,0.23133343682086308,0.5,0.12280701754385964,0.10526315789473684,0,604.4368430556726,30,0.5263157894736842,2021_11,ORD_COU,AA_CODESHARE_ORD_COU
2020,8,AS,DEN,SEA,124,513,5,0.21506712416736012,0.00681131557264487,0.24171539961013644,0.06451612903225806,0.0564516129032258,0,404.55546571031147,123,0.9919354838709676,2020_8,DEN_SEA,AS_DEN_SEA
2024,6,B6,TPA,LGA,56,178,3,0.517927029415478,0.06579157995838002,0.3146067415730337,0.32142857142857145,0.26785714285714285,0,477.5928603525603,39,0.6964285714285714,2024_6,TPA_LGA,B6_TPA_LGA
2022,7,NK,IAH,BWI,31,92,2,0.5531663516068053,0.04821175358437057,0.33695652173913043,0.0967741935483871,0.06451612903225806,0,261.48306962196375,31,1,2022_7,IAH_BWI,NK_IAH_BWI
2023,11,UA_CODESHARE,DEN,AMA,30,60,2,0.5,0.18783800024035577,0.5,0.1,0.06666666666666667,0,88.73584717977647,29,0.9666666666666668,2023_11,DEN_AMA,UA_CODESHARE_DEN_AMA
2023,11,NK,MCO,IAH,102,358,4,0.355185543522362,0.1698429319371728,0.2849162011173184,0.3627450980392157,0.35294117647058826,0,591.7390485118273,63,0.6176470588235294,2023_11,MCO_IAH,NK_MCO_IAH
2024,7,AA,ELP,DFW,152,268,2,0.5090220539095567,0.08838821490467938,0.5671641791044776,0.3092105263157895,0.32894736842105265,0,457.5904971091673,96,0.631578947368421,2024_7,ELP_DFW,AA_ELP_DFW
2023,10,B6,HPN,CHS,28,28,1,1,0.39650413983440663,1,0.07142857142857142,0.14285714285714285,0,9.98331942124796,28,1,2023_10,HPN_CHS,B6_HPN_CHS
2022,12,AA_CODESHARE,BOS,SDF,25,25,1,1,0.05820249052517596,1,0.32,0.28,0,64.4104546379442,25,1,2022_12,BOS_SDF,AA_CODESHARE_BOS_SDF
2022,3,UA_CODESHARE,EWR,IAD,31,151,2,0.6736985219946494,0.3376447105788423,0.2052980132450331,0.25806451612903225,0.2258064516129032,0.03225806451612903,228.012996201492,29,0.9666666666666668,2022_3,EWR_IAD,UA_CODESHARE_EWR_IAD
2025,9,DL_CODESHARE,AUS,CVG,30,45,3,0.5022222222222221,0.08179343933533878,0.6666666666666666,0.13333333333333333,0.13333333333333333,0,78.21041468703028,30,1,2025_9,AUS_CVG,DL_CODESHARE_AUS_CVG
2024,3,UA_CODESHARE,DEN,TUS,62,239,3,0.36611753995903434,0.1892980437284235,0.2594142259414226,0.04838709677419355,0.0967741935483871,0.03225806451612903,410.3813614973356,60,1,2024_3,DEN_TUS,UA_CODESHARE_DEN_TUS
2023,1,UA_CODESHARE,ORD,SLC,23,233,5,0.2543240803846083,0.24860709195352657,0.09871244635193133,0.17391304347826086,0.34782608695652173,0,241.04279383233597,20,0.8695652173913043,2023_1,ORD_SLC,UA_CODESHARE_ORD_SLC
2024,8,DL,LAX,LAS,146,886,9,0.166072183807306,0.186031746031746,0.16478555304740403,0.1506849315068493,0.22602739726027396,0,527.0143853372368,93,0.636986301369863,2024_8,LAX_LAS,DL_LAX_LAS
2025,12,WN,OMA,MDW,120,120,1,1,0.32537861404313906,1,0.24166666666666667,0.225,0,448.6762553031183,102,0.85,2025_12,OMA_MDW,WN_OMA_MDW
2023,8,G4,EVV,SFB,9,9,1,1,0.05098039215686274,1,0.3333333333333333,0.4444444444444444,0,277.0383547453312,9,1,2023_8,EVV_SFB,G4_EVV_SFB
2024,9,UA,DEN,SMF,172,354,3,0.4398799834019599,0.3303373364950662,0.4858757062146893,0.12209302325581396,0.09883720930232558,0,435.67313552863453,120,0.6976744186046512,2024_9,DEN_SMF,UA_DEN_SMF
2024,4,F9,MCO,MKE,18,162,3,0.5174516079865874,0.11073494145859784,0.1111111111111111,0.1111111111111111,0.05555555555555555,0,411.7475311544256,11,0.6111111111111112,2024_4,MCO_MKE,F9_MCO_MKE
2024,10,AA_CODESHARE,CLE,PHL,113,178,3,0.5075748011614695,0.1369641412779725,0.6348314606741573,0.09734513274336284,0.1415929203539823,0,380.5240744953512,85,0.7522123893805309,2024_10,CLE_PHL,AA_CODESHARE_CLE_PHL
2021,4,DL,LAS,BOS,22,77,2,0.5918367346938775,0.0970967121707364,0.2857142857142857,0.04545454545454545,0.04545454545454545,0,59.77629653721972,22,1,2021_4,LAS_BOS,DL_LAS_BOS
2024,7,UA_CODESHARE,DEN,BFF,52,52,1,1,0.1949227139889441,1,0.15384615384615383,0.17307692307692307,0,447.2964774768494,51,0.9807692307692308,2024_7,DEN_BFF,UA_CODESHARE_DEN_BFF
2023,1,AA_CODESHARE,DFW,MLI,62,62,1,1,0.2975161246054618,1,0.0967741935483871,0.08064516129032258,0.04838709677419355,294.73654740925133,50,0.847457627118644,2023_1,DFW_MLI,AA_CODESHARE_DFW_MLI
2022,6,WN,BNA,DAL,153,153,1,1,0.4932441654155862,1,0.26143790849673204,0.22875816993464052,0.0130718954248366,555.3653974456022,90,0.5960264900662252,2022_6,BNA_DAL,WN_BNA_DAL
2025,7,AS_CODESHARE,BOI,PHX,30,184,3,0.39012287334593576,0.3178474641889276,0.16304347826086957,0.36666666666666664,0.36666666666666664,0,44.200899767198,29,0.9666666666666668,2025_7,BOI_PHX,AS_CODESHARE_BOI_PHX
2024,8,G4,SFB,CAK,9,9,1,1,1,1,0.1111111111111111,0.2222222222222222,0,450.24042959783657,5,0.5555555555555556,2024_8,SFB_CAK,G4_SFB_CAK
2020,5,AA_CODESHARE,GJT,PHX,20,20,1,1,0.4126984126984127,1,0,0,0,123.60756023548244,20,1,2020_5,GJT_PHX,AA_CODESHARE_GJT_PHX
2024,9,UA_CODESHARE,GSP,IAD,15,15,1,1,0.14880546075085324,1,0,0,0.06666666666666667,382.9090572888635,9,0.6428571428571429,2024_9,GSP_IAD,UA_CODESHARE_GSP_IAD
2021,7,AA_CODESHARE,MYR,ORD,44,137,3,0.3591560551973999,0.13585916570991197,0.32116788321167883,0.06818181818181818,0.2272727272727273,0,139.71170860811463,44,1,2021_7,MYR_ORD,AA_CODESHARE_MYR_ORD
2021,7,UA,DEN,BZN,62,312,4,0.3322444115713347,0.2236513580994174,0.1987179487179487,0.3709677419354839,0.4838709677419355,0,420.5444156087863,31,0.5,2021_7,DEN_BZN,UA_DEN_BZN
2021,2,AS,SEA,ORD,102,173,4,0.40753115707173654,0.3966088850999337,0.5895953757225434,0.0784313725490196,0.0784313725490196,0.09803921568627452,591.3773725187546,75,0.8152173913043478,2021_2,SEA_ORD,AS_SEA_ORD
2024,8,WN,RSW,ATL,31,243,2,0.7774052058459924,0.20876826722338204,0.12757201646090535,0.12903225806451613,0.1935483870967742,0.03225806451612903,493.1566688183381,22,0.7333333333333333,2024_8,RSW_ATL,WN_RSW_ATL
2021,3,DL_CODESHARE,SEA,PDX,168,649,3,0.3483301321696767,0.10433972517661672,0.2588597842835131,0.03571428571428571,0.01785714285714285,0,513.2861293236266,124,0.7380952380952381,2021_3,SEA_PDX,DL_CODESHARE_SEA_PDX
2021,5,B6,FLL,RIC,60,90,2,0.5555555555555555,0.20369919688488683,0.6666666666666666,0.16666666666666666,0.2,0,416.31548058957776,31,0.5166666666666667,2021_5,FLL_RIC,B6_FLL_RIC
2020,10,UA_CODESHARE,IAD,IND,54,54,1,1,0.5924010791366906,1,0.12962962962962962,0.14814814814814814,0,333.7038485850099,53,0.9814814814814816,2020_10,IAD_IND,UA_CODESHARE_IAD_IND
